strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Uganda/UG489/2021	EPI_ISL_2690459		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/SouthSudan/UG571/2021	EPI_ISL_2928018		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG573/2021	EPI_ISL_2928020		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG574/2021	EPI_ISL_2928021		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/Nigeria/NCDC-FCT-8T/2021	EPI_ISL_2432922		Demy Health	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/Nigeria/NCDC-FCT-8Q/2021	EPI_ISL_1915793		EHA Clinics	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/Libya/EMC-9/2021	EPI_ISL_2860644		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/Gambia/31887/2021	EPI_ISL_2958626		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
hCoV-19/Uganda/UG461/2021	EPI_ISL_2346427		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Uganda/UG462/2021	EPI_ISL_2346428		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Uganda/UG463/2021	EPI_ISL_2346429		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/SouthSudan/UG412/2021	EPI_ISL_2450791		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
hCoV-19/Libya/EMC-10/2021	EPI_ISL_2860645		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/Libya/EMC-7/2021	EPI_ISL_2860642		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/Libya/EMC-8/2021	EPI_ISL_2860643		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/Belarus/RRPCEM_VIS_874/2021	EPI_ISL_2032231		Laboratory for HIV and opportunistic infections diagnosis The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Laboratory for HIV and opportunistic infections diagnosis The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Elena Gasich et al
hCoV-19/Malta/MDxMDH489/2021	EPI_ISL_2718542		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/Ghana/WACCBIP-GS749/2021	EPI_ISL_2836864		WACCBIP, University of Ghana, Accra, Ghana	WACCBIP, University of Ghana, Volta Road, Legon-Accra, Ghana	Collins M. Morang'a et al
hCoV-19/Uganda/UG497/2021	EPI_ISL_2690467		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Rakai Health Sciences Program	Matthew Cotten et al
hCoV-19/Uganda/UG526/2021	EPI_ISL_2690472		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Rakai Health Sciences Program	Matthew Cotten et al
hCoV-19/Uganda/UG527/2021	EPI_ISL_2690473		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Rakai Health Sciences Program	Matthew Cotten et al
hCoV-19/Nigeria/NCDC-FCT-6T/2021	EPI_ISL_2432518		Demy Health	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/Senegal/SN-IR1-38865/2021	EPI_ISL_2887851		Iressef Genomics lab	IRESSEF	Souleymane MBOUP et al
hCoV-19/Libya/EMC-5/2021	EPI_ISL_2860640		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/Libya/EMC-12/2021	EPI_ISL_2860647		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/Panama/332629/2020	EPI_ISL_496715		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
hCoV-19/USA/AK-PHL048/2020	EPI_ISL_492052		Alaska State Virology Laboratory	Alaska State Virology Laboratory	Chen J et al with Pathogenomics group Dagdag R et al
hCoV-19/India/UP-NBRI-N37-TDT658/2020	EPI_ISL_516966		King Georges Medical University	CSIR-National Botanical Research Institute	Priti Prasad et al
hCoV-19/Gabon/ITM-K023/2020	EPI_ISL_539574		Centre de Recherches Medicales de Lambarene (CERMEL)	Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University	Haruka Abe et al
hCoV-19/Brazil/PA-IEC173005/2020	EPI_ISL_848596		﻿Evandro Chagas Institute	﻿Evandro Chagas Institute	Santos et al
hCoV-19/Guinea/Conakry_IPG8397/2020	EPI_ISL_2245955		Institut Pasteur de Guinée	Institut Pateur de Dakar	Grayo Solene et al
hCoV-19/Canada/QC-L00258484/2020	EPI_ISL_1241673		Laboratoire de santé publique du Québec	Laboratoire de santé publique du Québec	Sandrine Moreira et al
hCoV-19/Cameroon/Douala-20V-3045/2020	EPI_ISL_1001051		Centre Pasteur du Cameroun	Institut Pasteur de Dakar	Njouom Richard et al
hCoV-19/Ghana/1659_S14/2020	EPI_ISL_422405		NMIMR, Department of Virology	WACCBIP, University of Ghana	Joyce M. Ngoi et al
hCoV-19/Morocco/FMP-183/2020	EPI_ISL_2318037		Laboratoire Central de Virologie	Laboratoire de Biotechnologie	Mouna Ouadghiri et al
hCoV-19/Palestine/16/2020	EPI_ISL_596505		Palestinian Ministry of Health	Molecular Genetics Lab	Nouar Qutob et al
hCoV-19/BosniaandHerzegovina/ChVir7387/2020	EPI_ISL_462461		Clinical Center, University of Sarajevo	Charite Universitatsmedizin Berlin, Institute of Virology	Victor M Corman et al
hCoV-19/NewZealand/20VR3491/2020	EPI_ISL_579505	MZ332497.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/NewZealand/20VR3476/2020	EPI_ISL_579496	MZ332489.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/NewZealand/20VR3128/2020	EPI_ISL_579426	MZ332419.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Cameroon/CV417/2020	EPI_ISL_845550		National Public Health Laboratory, Cameroon	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University	Oluniyi P.E. et al A
hCoV-19/Guinea/Conakry_IPG004/2020	EPI_ISL_2245781		Institut Pasteur de Guinée	Institut Pateur de Dakar	Grayo Solene et al
hCoV-19/Suriname/SR-16/2020	EPI_ISL_517627		Academic Hospital Paramaribo	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Suriname/SR-05/2020	EPI_ISL_517616		Academic Hospital Paramaribo	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Suriname/SR-49/2020	EPI_ISL_517660		Academic Hospital Paramaribo	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Suriname/SR-84/2020	EPI_ISL_2502533		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/Bangladesh/CHRF-0011/2020	EPI_ISL_492028		Child Health Research Foundation	Child Health Research Foundation	Senjuti Saha et al
hCoV-19/Guangdong/SYSU-IHV/2020	EPI_ISL_444969		Guangzhou Eighth People's Hospital (Jiahe Sector)	Institute of Human Virology, Zhongshan School of Medicine, Sun Yat-sen University	Junsong Zhang et al
hCoV-19/Poland/PL_MCB_65/2020	EPI_ISL_645064	MW273847.1	Human Genome Variation Research Group, Malopolska Centre of Biotechnology	Human Genome Variation Research Group, Malopolska Centre of Biotechnology	Kowalski et al
hCoV-19/Guinea/Conakry_IPG2928/2020	EPI_ISL_2245801		Institut Pasteur de Guinée	Institut Pateur de Dakar	Grayo Solene et al
hCoV-19/Belgium/ULG-10356/2020	EPI_ISL_540523		Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
hCoV-19/Netherlands/ZH-EMC-594/2020	EPI_ISL_578022		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Uganda/MAKCHScov19/2020	EPI_ISL_1652066		Integrated Biorepository of H3Africa Uganda – IBRH3AU	Molecular Biology Laboratory	Savannah Mwesigwa et al
hCoV-19/Congo/FCRM-59-A9-26-04/2021	EPI_ISL_3342568		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/Congo/ITM-016-4970/2021	EPI_ISL_1671928		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Institute of Tropical Medicine	Prof. Dr. Thirumalaisamy P. Velavan et al
hCoV-19/Congo/ITM-044-1602B4/2021	EPI_ISL_1854774		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Institute of Tropical Medicine	Prof. Francine Ntoumi et al
hCoV-19/Rwanda/NRLNAT4055/2021	EPI_ISL_2521992		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/RepublicoftheCongo/RC-003/2021	EPI_ISL_2978188		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/RepublicoftheCongo/RC-012/2021	EPI_ISL_2978197		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/RepublicoftheCongo/RC-001/2021	EPI_ISL_2978186		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Angola/CERI-KRISP-K014928/2021	EPI_ISL_2492818		Instituto Nacional de Investigação em Saúde	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Morais J et al
hCoV-19/Angola/CERI-KRISP-K014939/2021	EPI_ISL_2492847		Instituto Nacional de Investigação em Saúde	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Morais J et al
hCoV-19/Congo/ITM-029-2801A21/2021	EPI_ISL_1854760		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Institute of Tropical Medicine	Prof. Francine Ntoumi et al
hCoV-19/DRC/GOMA9496/2021	EPI_ISL_3133642		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Australia/QLD1920/2021	EPI_ISL_2507089		PHV-FSS	PHV-FSS	Son Nguyen et al
hCoV-19/Liechtenstein/UHB-41963137/2021	EPI_ISL_3030090		Labormedizinisches Zentrum Dr Risch	Clinical Bacteriology	Tim Roloff et al
hCoV-19/USA/OR-PROV-188/2020	EPI_ISL_482436		Providence St. Joseph Health Molecular Genomics Laboratory	Providence St. Joseph Health Molecular Genomics Laboratory	Alexa K Dowdell et al (https://www.medrxiv.org/content/10.1101/2020.07.30.20160069v1)
hCoV-19/Colombia/DC-INS-3334/2020	EPI_ISL_653754		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al
hCoV-19/Spain/MD-H12-LP27-2548/2020	EPI_ISL_428681		Hospital Universitario La Paz	Hospital Universitario 12 de Octubre	Elias Dahdouh et al
hCoV-19/Guinea/Conakry_IPG012/2020	EPI_ISL_2245783		Institut Pasteur de Guinée	Institut Pateur de Dakar	Grayo Solene et al
hCoV-19/Morocco/HMIMV-Rabat1025-04/2020	EPI_ISL_471457		Centre de Virologie des Maladies Tropicales	Functional Genomic Platform/Service Analyses Biologique/UATRS/ Centre National Pour la Recherche Scientifique Et Technique (CNRST)	Hicham EL ANNAZ et al
hCoV-19/Morocco/HMIMV-19N/2020	EPI_ISL_2968051		Centre de Virologie des Maladies infectueuses Tropicales	Functional Genomic Platform UATRS-biology, CNRST	Nadia TOUIL et al
hCoV-19/Iran/GRC-10532/2020	EPI_ISL_2692985		Department of Pathology, School of Medicine, Imam Hospital Complex, Tehran University of Medical Sciences, Tehran, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
hCoV-19/Romania/USAFSAM-S564/2020	EPI_ISL_738341		Landstuhl Regional Medical Center	United States Air Force School of Aerospace Medicine	Anthony Fries et al
hCoV-19/Norway/6848/2020	EPI_ISL_796694		Nordland Hospital - Bodo, Laboratory Department, Molecular Biology Unit	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
hCoV-19/Romania/Bucuresti408383/2020	EPI_ISL_910336		Laboratory for Respiratory Viruses, Cantacuzino National Military-Medical Institute for Research and Development	Cantacuzino Institute Virology	Luiza Ustea et al
hCoV-19/Romania/IF-966/2021	EPI_ISL_862833		National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Leontina Banica et al
hCoV-19/Croatia/IGA-68-132251-P/2020	EPI_ISL_1167085		"Dr. Andrija Stampar" Teaching Institute of Public Health, Department of Clinical Microbiology	Istituto di Genomica Applicata	Jasmina Vranes et al
hCoV-19/Australia/WA539/2020	EPI_ISL_794711		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/CzechRepublic/NRL-9963/2020	EPI_ISL_660596		The National Institute of Public Health	State Veterinary Institute Prague	Nagy et al
hCoV-19/Slovakia/CeMM3359/2020	EPI_ISL_1180708		Public Health Authority of the Slovak Republic	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Australia/QLD1343/2020	EPI_ISL_849685		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
hCoV-19/Poland/Pomorskie_MWB_161/2021	EPI_ISL_1040985		Hematology Laboratory, Section of Molecular Diagnostics, University Clinical Centre, Medical University of Gdansk	Laboratory of Recombinant Vaccines	Lukasz Rabalski et al
hCoV-19/England/CAMC-B213E7/2020	EPI_ISL_647315		Lighthouse Lab in Cambridge	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Rob Howes et al
hCoV-19/Cyprus/Cy167396/2021	EPI_ISL_1164750		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
hCoV-19/Belgium/ULG-11876/2020	EPI_ISL_965385		University of Liège COVID-19 testing center	GIGA Medical Genomics	Keith Durkin et al
hCoV-19/Slovakia/CeMM3334/2020	EPI_ISL_1180687		Public Health Authority of the Slovak Republic	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Kenya/NIC_187/2020	EPI_ISL_457833		National Public Health Laboratory	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	Githinji G. et al 2020 et al (https://virological.org/t/introduction-and-local-transmission-of-sars-cov-2-cases-in-kenya/497)
hCoV-19/Mexico/HID-IBT-IMSS-506/2020	EPI_ISL_1301463		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/Guatemala/33893/2020	EPI_ISL_1533985		Laboratorio Nacional de Salud	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Peru/CAL-INS-079/2020	EPI_ISL_536479		Instituto Nacional de Salud	Laboratorio de Infecciones Respiratorias Agudas	Eduardo Juscamayta Lopez et al
hCoV-19/Mexico/COL-IBT-IMSS-463/2020	EPI_ISL_1301646		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/Mexico/SIN-InDRE-IBT-27/2020	EPI_ISL_1301699		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/USA/LA-EVTL1890/2020	EPI_ISL_1039575		LSUHS Emerging Viral Threat Laboratory	Microbial Genome Sequencing Center	Jeremy P. Kamil et al
hCoV-19/Australia/QLD964/2020	EPI_ISL_530238		Queensland Health Forensic and Scientific Services, Public Health Virology	Public Health Virology Laboratory, Forensic and Scientific Services, Queensland Health	Son Nguyen et al
hCoV-19/Qatar/QA-WCMQ_FD15506527/2020	EPI_ISL_1713975		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
hCoV-19/Singapore/977/2020	EPI_ISL_548985		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Chile/Santiago-PUC_MVL_0029/2020	EPI_ISL_801620	MW365181.1	Laboratory of Molecular Virology, Pontificia Universidad Católica de Chile	MSHS Pathogen Surveillance Program	Leonardo I. Almonacid et al
hCoV-19/Bolivia/26948/2020	EPI_ISL_837568		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Bolivia/26952/2020	EPI_ISL_837571		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Uganda/MAKCHScov8/2021	EPI_ISL_1652056		Integrated Biorepository of H3Africa Uganda – IBRH3AU	Molecular Biology Laboratory	Savannah Mwesigwa et al
hCoV-19/Spain/AN-IBV-006110/2020	EPI_ISL_510440		Hospital Universitario Virgen de las Nieves de Granada-SAS	SeqCOVID-SPAIN consortium/IBV(CSIC)	Mercedes Pérez Ruiz et al
